Most recent sessions as of 2020-04-13 20:53:54.618905
User,In,Out,Net,Chips in play,Contact
rsandz,5000.0,5776.0,776.0,,None provided
rupumped,5000.0,4224.0,-776.0,,None provided

Hands played: 0
Hands played last session: 3
